eradication-days,total-infected,peak-illnesses,peak-recoveries,policy-changes,total-deaths,peak-hospitalizations,peak-recoveries-count,peak-recoveries-day,peak-illnesses-count,peak-illnesses-day,peak-hospitalizations-day,peak-hospitalizations-count,policy-change-1,policy-change-2
150,9967,[69 5410],[73 531],[63 74],33,[76 1066],531,73,5410,69,76,1066,63,74
140,18211,[59 7748],[62 687],[46 56],151,[68 2254],687,62,7748,59,68,2254,46,56
191,13381,[105 5982],[110 576],[95 106],68,[114 1351],576,110,5982,105,114,1351,95,106
146,15094,[63 7646],[67 782],[53 63],55,[70 1562],782,67,7646,63,70,1562,53,63
152,15662,[69 6713],[74 541],[48 59],222,[73 2409],541,74,6713,69,73,2409,48,59
143,12099,[74 4904],[80 388],[53 65],161,[77 1881],388,80,4904,74,77,1881,53,65
132,17066,[55 7644],[59 623],[37 48],264,[62 2712],623,59,7644,55,62,2712,37,48
141,15129,[63 6459],[64 591],[51 62],100,[72 1572],591,64,6459,63,72,1572,51,62
129,13666,[50 5825],[56 570],[43 53],60,[59 1331],570,56,5825,50,59,1331,43,53
144,17257,[67 7447],[72 623],[48 60],248,[73 2560],623,72,7447,67,73,2560,48,60
175,14717,[74 6639],[80 625],[65 76],62,[81 1402],625,80,6639,74,81,1402,65,76
150,12616,[70 5349],[76 478],[51 65],175,[75 1767],478,76,5349,70,75,1767,51,65
152,11844,[65 5103],[69 473],[58 69],87,[75 1179],473,69,5103,65,75,1179,58,69
138,15919,[66 7146],[71 588],[49 60],198,[71 2355],588,71,7146,66,71,2355,49,60
132,12336,[43 4282],[46 409],[36 47],124,[59 1469],409,46,4282,43,59,1469,36,47
141,12575,[74 5106],[81 422],[52 66],161,[79 1902],422,81,5106,74,79,1902,52,66
147,21761,[63 10086],[66 817],[43 53],306,[68 3608],817,66,10086,63,68,3608,43,53
172,16336,[82 7030],[88 648],[71 82],100,[92 1816],648,88,7030,82,92,1816,71,82
150,15029,[66 5840],[70 480],[51 62],141,[75 1860],480,70,5840,66,75,1860,51,62
123,15746,[55 6531],[56 606],[43 54],101,[64 1727],606,56,6531,55,64,1727,43,54
148,12769,[78 5078],[82 427],[55 69],177,[83 1847],427,82,5078,78,83,1847,55,69
134,18767,[60 8637],[65 714],[43 54],223,[66 2924],714,65,8637,60,66,2924,43,54
142,16528,[55 6190],[60 609],[48 58],123,[71 1897],609,60,6190,55,71,1897,48,58
182,19301,[71 8746],[76 732],[53 63],278,[77 3028],732,76,8746,71,77,3028,53,63
133,12792,[45 4569],[51 439],[39 51],98,[61 1409],439,51,4569,45,61,1409,39,51
129,10754,[60 5010],[64 487],[54 67],27,[69 1053],487,64,5010,60,69,1053,54,67
161,15337,[67 6391],[70 592],[56 67],71,[77 1622],592,70,6391,67,77,1622,56,67
141,14751,[61 6681],[66 617],[50 61],94,[71 1662],617,66,6681,61,71,1662,50,61
159,13013,[72 5161],[75 409],[50 64],200,[77 1894],409,75,5161,72,77,1894,50,64
131,15324,[67 6539],[73 558],[47 58],258,[71 2445],558,73,6539,67,71,2445,47,58
139,20022,[67 9440],[72 791],[49 60],291,[74 3139],791,72,9440,67,74,3139,49,60
144,16913,[65 8002],[70 824],[55 65],54,[74 1569],824,70,8002,65,74,1569,55,65
174,11787,[83 4688],[87 400],[58 72],221,[85 1734],400,87,4688,83,85,1734,58,72
148,10663,[86 4346],[92 360],[63 77],132,[90 1631],360,92,4346,86,90,1631,63,77
141,12729,[54 5931],[58 611],[45 57],41,[63 1212],611,58,5931,54,63,1212,45,57
185,20273,[55 9313],[59 775],[37 48],305,[63 3177],775,59,9313,55,63,3177,37,48
139,22570,[54 10877],[60 937],[38 48],317,[62 3623],937,60,10877,54,62,3623,38,48
136,16627,[68 7171],[72 662],[55 65],128,[76 2008],662,72,7171,68,76,2008,55,65
170,17167,[89 7607],[95 704],[78 88],110,[97 1895],704,95,7607,89,97,1895,78,88
153,12972,[68 4469],[76 389],[48 60],165,[73 1648],389,76,4469,68,73,1648,48,60
150,24072,[66 11407],[72 975],[49 59],308,[74 3732],975,72,11407,66,74,3732,49,59
118,20569,[52 9855],[57 840],[35 45],281,[58 3188],840,57,9855,52,58,3188,35,45
143,14613,[53 6827],[57 671],[43 53],41,[61 1395],671,57,6827,53,61,1395,43,53
140,15711,[67 6785],[73 562],[46 58],218,[72 2437],562,73,6785,67,72,2437,46,58
148,14334,[70 5543],[76 448],[48 62],176,[75 1991],448,76,5543,70,75,1991,48,62
132,17652,[62 8242],[67 698],[45 55],259,[68 2799],698,67,8242,62,68,2799,45,55
153,12578,[79 5834],[84 594],[70 84],53,[87 1080],594,84,5834,79,87,1080,70,84
151,14499,[74 6307],[80 510],[53 66],196,[78 2329],510,80,6307,74,78,2329,53,66
157,17857,[62 7941],[68 675],[42 52],254,[67 2835],675,68,7941,62,67,2835,42,52
189,13851,[110 5901],[115 488],[91 105],232,[117 1888],488,115,5901,110,117,1888,91,105
149,16471,[80 7087],[86 606],[62 72],232,[85 2407],606,86,7087,80,85,2407,62,72
113,8589,[51 4827],[57 496],[45 59],25,[58 1007],496,57,4827,51,58,1007,45,59
149,13873,[73 5657],[74 514],[61 73],81,[84 1486],514,74,5657,73,84,1486,61,73
