0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
1291,1432,1569,1734,1932,2176,2440,2793,3175,3632,4235,4909,5708,6672,7798,7908,8039,8164,8288,8416,8533,8640,8717,8781,8842,8900,9069,9179,9266,9359,9421,9488,9541,9591,9639,9684,9716,9741,9773,9792,9812,9838,9857,9873,9888,9897,9910,9917,9925,9934,9938,9941,9942,9945,9945,9947,9949,9951,9953,9955,9957,9958,9960,9960,9961,9963,9963,9964,9964,9965,9965,9965,9965,9965,9965,9966,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,746,869,1012,1162,1363,1618,1898,2228,2598,3005,3515,4084,4813,5619,6509,7163,7913,8658,9475,10270,11042,11816,12567,13283,13972,14334,14691,15074,15411,15710,16003,16278,16503,16714,16880,17038,17172,17304,17404,17500,17584,17659,17718,17789,17843,17884,17926,17959,17985,18013,18046,18071,18093,18111,18120,18130,18144,18158,18165,18176,18179,18182,18187,18188,18190,18193,18196,18199,18200,18201,18202,18203,18203,18203,18203,18204,18204,18206,18206,18206,18207,18207,18208,18208,18208,18209,18209,18210,18210,18210,18210,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,1215,1372,1555,1747,1995,2305,2623,2978,3419,3909,4475,5092,5808,6672,7229,7819,8404,8974,9502,10001,10463,10820,11189,11518,11769,11944,12098,12242,12371,12493,12593,12689,12762,12841,12908,12965,13018,13056,13091,13126,13161,13188,13218,13234,13251,13269,13289,13300,13310,13325,13330,13336,13342,13345,13351,13355,13358,13361,13363,13364,13366,13368,13368,13370,13372,13374,13374,13376,13376,13376,13377,13379,13379,13379,13379,13379,13380,13380,13380,13380,13380,13380,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,1152,1329,1544,1774,2062,2392,2756,3176,3688,4222,4842,5521,6356,7367,8484,9240,10073,10841,11532,12185,12693,13132,13469,13725,13933,14046,14159,14264,14356,14418,14501,14566,14630,14687,14737,14776,14809,14841,14872,14914,14939,14960,14969,14983,14990,15005,15013,15020,15028,15034,15039,15045,15050,15052,15058,15062,15064,15068,15071,15074,15074,15075,15078,15080,15083,15087,15088,15090,15091,15091,15092,15092,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
496,578,666,763,874,1004,1155,1324,1523,1760,2009,2300,2658,3035,3519,3865,4248,4663,5068,5549,6059,6586,7170,7726,8359,8959,9561,10157,10710,11248,11750,12178,12562,12897,13216,13499,13750,13959,14145,14302,14455,14584,14719,14831,14944,15028,15114,15172,15228,15277,15317,15350,15385,15418,15444,15470,15491,15510,15529,15536,15547,15560,15570,15576,15583,15592,15597,15605,15609,15614,15618,15620,15621,15623,15626,15628,15631,15634,15636,15637,15640,15642,15643,15646,15646,15648,15651,15653,15653,15656,15657,15658,15658,15658,15658,15659,15659,15661,15661,15661,15661,15661,15661,15661,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,776,872,983,1109,1268,1429,1599,1814,2032,2312,2623,2996,3418,3671,3938,4221,4536,4866,5192,5563,5931,6341,6731,7145,7584,8016,8427,8840,9209,9512,9790,10100,10339,10562,10715,10872,10993,11137,11251,11366,11464,11551,11619,11679,11739,11777,11825,11857,11895,11921,11948,11968,11984,12003,12020,12028,12043,12052,12059,12061,12065,12070,12075,12077,12079,12080,12085,12086,12086,12087,12089,12092,12095,12095,12095,12095,12097,12098,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
493,584,668,766,887,1026,1201,1369,1569,1801,2057,2398,2742,3136,3630,4052,4514,5028,5598,6202,6867,7563,8323,9148,10069,10979,11510,12021,12505,13006,13494,13906,14289,14638,14926,15176,15406,15586,15772,15904,16055,16183,16297,16395,16465,16535,16609,16667,16716,16749,16801,16825,16860,16877,16900,16923,16939,16957,16972,16984,16996,17006,17011,17020,17023,17030,17035,17040,17044,17047,17052,17054,17057,17059,17061,17063,17064,17064,17064,17064,17064,17065,17065,17065,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,1135,1299,1504,1732,1997,2288,2579,2972,3409,3925,4496,5131,5864,6708,7260,7939,8582,9247,9877,10460,11031,11554,12041,12484,12861,13090,13297,13503,13683,13854,13981,14115,14241,14352,14428,14520,14582,14646,14702,14735,14785,14821,14859,14886,14909,14934,14951,14970,14990,15007,15019,15033,15047,15056,15065,15072,15077,15083,15093,15099,15104,15105,15105,15108,15111,15112,15114,15116,15117,15120,15122,15122,15124,15124,15125,15126,15128,15128,15128,15128,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,850,979,1169,1399,1666,1951,2306,2695,3122,3644,4222,4905,5702,6598,7604,7943,8322,8740,9079,9419,9748,10066,10376,10605,10810,11157,11436,11705,11940,12143,12313,12456,12573,12669,12789,12902,12978,13057,13139,13195,13240,13287,13324,13367,13405,13431,13452,13471,13490,13505,13525,13537,13558,13569,13577,13585,13591,13601,13610,13621,13625,13629,13637,13643,13645,13646,13648,13651,13651,13654,13657,13657,13659,13660,13661,13662,13662,13663,13664,13664,13665,13665,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,987,1099,1242,1404,1572,1792,2011,2261,2529,2856,3223,3630,4102,4529,4996,5511,6076,6665,7280,7962,8663,9416,10248,11131,12093,12529,12951,13363,13794,14220,14584,14886,15146,15390,15590,15778,15939,16076,16229,16331,16441,16532,16620,16697,16755,16821,16867,16925,16971,17004,17038,17064,17084,17100,17120,17150,17162,17183,17192,17197,17201,17209,17218,17221,17229,17231,17231,17233,17239,17241,17244,17245,17245,17246,17249,17250,17252,17255,17255,17255,17255,17256,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
