0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
3,4,5,6,8,9,10,10,11,12,15,20,28,31,39,51,59,66,81,94,111,125,142,157,175,197,226,249,275,309,354,401,462,516,587,654,731,819,891,968,1038,1107,1165,1212,1252,1285,1315,1337,1369,1398,1428,1444,1460,1474,1490,1507,1523,1537,1548,1569,1577,1585,1594,1601,1604,1612,1619,1620,1623,1626,1630,1631,1632,1635,1636,1638,1639,1639,1639,1640,1640,1640,1640,1640,1640,1640,1640,1642,1642,1642,1642,1643,1643,1643,1643,1643,1643,1643,1643,1643,1643,1644,1644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,2,4,7,10,12,15,16,18,21,24,30,34,37,45,49,53,55,69,81,88,99,123,146,161,184,213,235,275,313,366,430,495,563,645,728,816,921,1052,1151,1279,1404,1553,1719,1861,2010,2137,2268,2400,2534,2661,2766,2895,2972,3062,3128,3199,3254,3312,3362,3400,3431,3456,3492,3511,3539,3554,3576,3595,3604,3620,3635,3646,3653,3662,3666,3671,3682,3692,3697,3699,3701,3703,3706,3707,3708,3709,3709,3712,3712,3712,3712,3712,3712,3712,3713,3714,3714,3714,3714,3714,3714,3714,3714,3714,3714,3714,3714,3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,10,10,11,11,11,12,13,13,15,21,24,31,36,42,53,60,73,85,99,110,131,145,167,194,217,244,275,318,359,402,464,516,573,653,743,834,907,994,1071,1161,1237,1319,1388,1463,1544,1616,1678,1750,1805,1861,1919,1980,2023,2059,2104,2133,2154,2180,2193,2205,2221,2233,2248,2258,2267,2272,2278,2284,2290,2295,2302,2306,2309,2311,2316,2317,2319,2320,2321,2322,2322,2322,2324,2325,2327,2328,2328,2328,2328,2329,2329,2329,2329,2329,2329,2329,2329,2329,2330,2330,2331,2331,2331,2331,2331,2331,2331,2332,2333,2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,8,10,11,14,14,16,16,16,19,23,24,27,30,32,38,41,53,58,62,68,78,90,105,125,145,164,191,223,258,294,350,415,489,575,669,755,862,953,1057,1155,1268,1366,1460,1555,1641,1712,1790,1842,1905,1959,2003,2043,2063,2090,2118,2137,2155,2178,2194,2208,2216,2227,2240,2246,2253,2263,2270,2275,2281,2284,2290,2292,2293,2295,2297,2297,2299,2299,2301,2303,2304,2304,2305,2305,2306,2307,2310,2310,2311,2311,2311,2311,2312,2312,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2313,2314,2314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,5,6,8,12,14,15,15,16,18,18,20,22,24,29,36,40,51,60,68,81,94,110,124,139,156,189,228,265,303,353,405,472,533,602,693,778,883,989,1096,1203,1356,1507,1626,1768,1918,2050,2192,2344,2506,2647,2802,2943,3047,3164,3259,3363,3451,3541,3624,3703,3756,3809,3855,3894,3939,3977,4012,4035,4060,4088,4111,4132,4152,4168,4180,4191,4201,4210,4217,4223,4233,4239,4242,4243,4246,4248,4253,4256,4258,4259,4263,4264,4265,4265,4265,4267,4267,4268,4269,4269,4269,4269,4269,4269,4270,4270,4272,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,4273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,14,15,16,19,20,20,22,24,27,29,31,34,37,42,51,60,74,84,95,109,126,143,163,183,207,223,254,294,331,378,419,477,533,578,641,717,790,885,975,1073,1168,1260,1373,1504,1613,1724,1833,1948,2072,2186,2286,2383,2499,2598,2682,2751,2838,2895,2956,3022,3066,3113,3152,3195,3230,3263,3286,3306,3326,3342,3359,3368,3380,3387,3393,3398,3404,3410,3414,3415,3419,3422,3425,3426,3427,3431,3434,3435,3435,3437,3437,3438,3440,3441,3443,3444,3444,3444,3445,3445,3445,3445,3446,3446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,4,7,9,11,14,21,25,28,35,39,46,54,71,86,94,105,112,125,144,164,186,206,232,262,301,351,401,461,541,604,696,777,869,967,1101,1229,1353,1507,1660,1818,2002,2174,2342,2505,2667,2836,3015,3160,3313,3422,3525,3610,3689,3775,3860,3933,3994,4045,4089,4137,4182,4220,4245,4270,4302,4321,4334,4356,4364,4376,4387,4400,4411,4417,4426,4432,4436,4437,4441,4443,4444,4446,4448,4448,4448,4450,4452,4455,4455,4458,4459,4460,4462,4462,4465,4466,4466,4466,4467,4467,4467,4467,4467,4468,4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2,4,4,4,5,10,11,17,18,23,28,34,37,45,50,53,62,68,81,91,108,125,147,184,205,241,279,318,363,406,461,526,591,647,709,783,852,935,1018,1136,1248,1352,1448,1545,1667,1761,1847,1923,1989,2063,2123,2173,2232,2296,2343,2386,2431,2459,2492,2524,2541,2560,2573,2594,2604,2616,2627,2636,2643,2646,2652,2656,2659,2670,2673,2675,2678,2684,2686,2689,2689,2690,2693,2695,2697,2699,2700,2701,2706,2708,2708,2709,2710,2710,2711,2711,2712,2712,2712,2712,2712,2712,2713,2713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,4,5,6,9,10,10,12,14,16,19,22,28,29,33,36,42,49,57,65,73,85,92,111,128,151,171,205,242,272,320,385,448,520,598,676,783,877,965,1048,1150,1233,1318,1393,1454,1513,1566,1617,1671,1729,1792,1838,1881,1927,1969,1995,2031,2054,2089,2119,2146,2166,2189,2208,2227,2247,2260,2273,2280,2288,2293,2300,2308,2317,2318,2319,2324,2327,2333,2337,2340,2345,2347,2347,2347,2347,2349,2349,2351,2352,2353,2356,2358,2358,2358,2358,2360,2361,2362,2362,2364,2364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,13,16,17,17,19,20,22,27,30,32,34,43,48,52,59,64,69,82,97,109,129,140,158,173,196,220,251,279,318,356,405,454,507,582,651,718,790,875,973,1087,1203,1340,1487,1633,1789,1970,2146,2310,2475,2626,2792,2935,3056,3184,3290,3398,3494,3571,3640,3696,3760,3804,3845,3884,3908,3938,3962,3987,4011,4028,4040,4058,4070,4076,4094,4100,4106,4113,4115,4118,4122,4126,4131,4133,4135,4137,4142,4147,4148,4150,4151,4152,4154,4154,4154,4155,4156,4157,4158,4159,4161,4164,4164,4165,4166,4166,4166,4166,4167,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
