0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
56,75,89,103,124,141,160,183,197,213,229,249,269,300,347,395,445,511,590,670,768,895,1027,1129,1202,1265,1310,1334,1353,1365,1383,1405,1424,1436,1451,1471,1499,1523,1541,1554,1568,1584,1600,1609,1618,1627,1636,1642,1645,1648,1650,1651,1653,1657,1660,1665,1668,1668,1668,1669,1670,1672,1673,1673,1673,1673,1674,1674,1674,1674,1674,1674,1674,1674,1674,1675,1676,1676,1676,1676,1676,1676,1676,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,1677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,49,57,63,70,80,88,105,116,131,150,184,208,242,276,324,376,437,507,581,655,751,854,979,1106,1258,1398,1550,1682,1859,2015,2193,2373,2552,2690,2818,2944,3056,3135,3225,3278,3335,3412,3472,3514,3560,3597,3627,3654,3680,3696,3720,3743,3758,3765,3780,3798,3808,3817,3822,3832,3838,3843,3846,3848,3852,3856,3858,3858,3859,3860,3860,3861,3861,3862,3862,3863,3864,3864,3864,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,56,68,82,91,104,121,139,154,174,193,224,260,295,338,385,438,507,579,658,774,853,955,1069,1175,1274,1369,1460,1531,1622,1695,1765,1838,1904,1958,2010,2069,2107,2146,2172,2189,2213,2239,2257,2277,2292,2303,2316,2324,2332,2338,2346,2352,2355,2363,2373,2378,2383,2383,2384,2385,2389,2389,2389,2391,2393,2394,2394,2394,2395,2395,2395,2395,2397,2397,2397,2398,2398,2398,2398,2398,2398,2398,2398,2398,2399,2399,2399,2399,2399,2400,2400,2400,2400,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,46,49,55,65,75,83,92,100,117,142,167,200,229,267,313,363,414,478,574,683,798,925,1055,1198,1297,1417,1531,1626,1722,1810,1876,1941,1988,2033,2076,2100,2130,2157,2178,2200,2218,2233,2247,2263,2273,2288,2296,2305,2315,2323,2327,2335,2338,2339,2342,2346,2350,2351,2352,2353,2354,2355,2356,2360,2360,2360,2361,2361,2363,2364,2365,2365,2365,2365,2365,2366,2367,2368,2368,2368,2368,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,2369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,45,53,64,75,79,89,100,114,141,161,195,235,278,316,369,421,485,553,653,763,865,968,1074,1210,1352,1468,1602,1755,1892,2078,2268,2453,2638,2813,2996,3138,3285,3402,3524,3621,3727,3793,3866,3933,3990,4048,4091,4148,4183,4220,4242,4268,4301,4316,4334,4352,4370,4383,4398,4414,4422,4430,4442,4453,4455,4459,4468,4472,4474,4478,4481,4482,4484,4486,4488,4488,4488,4488,4490,4490,4490,4490,4490,4491,4492,4492,4492,4492,4492,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,61,75,84,96,111,129,155,178,200,231,267,300,337,370,418,468,522,590,669,764,849,946,1054,1167,1267,1369,1476,1586,1728,1861,1992,2130,2266,2411,2519,2640,2744,2839,2928,3008,3075,3140,3192,3236,3270,3319,3350,3387,3425,3454,3479,3496,3505,3521,3538,3542,3551,3561,3566,3570,3575,3579,3583,3584,3584,3588,3589,3591,3592,3594,3597,3598,3599,3600,3601,3601,3603,3603,3605,3605,3605,3606,3606,3606,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,59,71,80,93,108,120,132,143,162,182,209,237,274,322,368,420,486,552,628,702,809,928,1046,1166,1311,1455,1636,1814,2016,2231,2442,2691,2885,3079,3273,3436,3579,3707,3836,3945,4009,4072,4150,4211,4273,4326,4375,4407,4447,4476,4515,4544,4567,4587,4604,4617,4633,4650,4660,4668,4678,4683,4686,4692,4695,4703,4707,4709,4712,4713,4714,4715,4717,4718,4721,4722,4724,4726,4726,4727,4728,4728,4729,4730,4731,4731,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,4732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,59,64,71,87,102,113,135,152,173,202,231,260,296,341,389,452,513,592,672,752,846,943,1045,1150,1248,1354,1456,1550,1657,1769,1878,1995,2082,2167,2250,2311,2373,2419,2466,2506,2540,2570,2600,2636,2652,2668,2686,2698,2708,2721,2733,2737,2742,2752,2759,2764,2767,2771,2776,2778,2781,2783,2783,2784,2786,2790,2793,2796,2800,2800,2801,2801,2801,2803,2804,2805,2807,2808,2809,2809,2809,2809,2810,2810,2811,2812,2812,2812,2812,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,42,48,58,73,77,83,93,102,111,130,148,174,208,248,301,365,437,516,601,710,842,955,1073,1184,1287,1368,1432,1489,1537,1597,1660,1712,1767,1824,1879,1928,1978,2026,2065,2105,2131,2157,2187,2209,2236,2253,2280,2298,2311,2319,2328,2341,2347,2352,2358,2367,2374,2377,2379,2383,2386,2393,2396,2397,2399,2403,2408,2408,2410,2411,2413,2415,2416,2417,2417,2417,2418,2419,2421,2421,2421,2422,2423,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,2424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,81,91,103,108,128,142,156,181,206,234,265,294,329,375,439,492,544,613,695,786,875,985,1084,1191,1310,1469,1633,1798,1982,2178,2391,2614,2834,3022,3172,3321,3450,3580,3662,3760,3834,3903,3952,4008,4057,4101,4141,4167,4191,4207,4228,4255,4279,4294,4304,4317,4331,4337,4347,4354,4364,4367,4369,4374,4380,4380,4383,4385,4387,4390,4392,4396,4398,4399,4399,4399,4401,4403,4405,4407,4408,4408,4408,4409,4411,4411,4413,4414,4414,4414,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,4415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
