0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
709,842,971,1101,1234,1373,1515,1678,1871,2093,2365,2667,3058,3503,4040,4641,5418,6245,6964,7493,7857,8088,8220,8347,8467,8572,8659,8740,8816,8905,9001,9113,9216,9319,9380,9458,9515,9571,9603,9651,9686,9726,9754,9772,9797,9821,9844,9855,9877,9886,9903,9915,9924,9931,9934,9938,9942,9944,9945,9948,9948,9950,9951,9953,9956,9957,9959,9961,9962,9963,9963,9964,9964,9965,9965,9965,9965,9965,9965,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,9967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,405,465,529,625,712,820,946,1112,1311,1532,1793,2125,2481,2881,3353,3889,4579,5281,6044,6775,7514,8281,9065,9895,10648,11394,12180,12867,13469,14033,14460,14854,15209,15540,15853,16133,16367,16589,16762,16929,17097,17208,17336,17438,17529,17630,17693,17751,17813,17851,17894,17936,17965,17995,18028,18056,18083,18098,18115,18126,18137,18152,18160,18169,18174,18180,18183,18187,18188,18189,18193,18196,18198,18199,18202,18203,18203,18203,18203,18203,18204,18206,18206,18206,18206,18206,18206,18207,18208,18209,18210,18210,18210,18210,18210,18210,18210,18210,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,18211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,679,780,885,1005,1141,1301,1496,1712,1929,2181,2506,2844,3259,3725,4239,4893,5564,6201,6858,7475,8071,8699,9264,9742,10201,10585,10945,11308,11587,11804,11999,12162,12296,12434,12533,12625,12712,12793,12869,12933,12991,13040,13072,13108,13140,13170,13193,13224,13239,13253,13269,13287,13304,13312,13320,13329,13338,13344,13348,13354,13357,13360,13360,13363,13364,13367,13368,13369,13370,13371,13372,13373,13375,13376,13376,13377,13377,13377,13378,13378,13379,13379,13379,13380,13380,13380,13380,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,13381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
518,599,688,809,935,1089,1269,1479,1705,1953,2276,2617,3028,3501,4018,4608,5302,6078,6961,7886,8741,9580,10405,11143,11781,12396,12870,13256,13531,13752,13928,14088,14188,14286,14374,14444,14531,14593,14654,14701,14742,14794,14837,14870,14891,14913,14942,14963,14975,14981,14997,15010,15023,15027,15033,15038,15043,15047,15050,15055,15058,15060,15065,15068,15069,15074,15075,15077,15078,15080,15084,15088,15089,15089,15092,15092,15092,15093,15093,15093,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,15094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,336,365,421,479,549,634,731,828,955,1098,1258,1458,1682,1922,2205,2505,2874,3283,3663,4053,4482,4922,5373,5841,6377,6932,7503,8063,8650,9236,9869,10424,10955,11452,11926,12319,12692,13018,13307,13579,13800,14028,14221,14393,14513,14631,14774,14866,14954,15045,15110,15173,15230,15283,15329,15370,15394,15431,15458,15477,15501,15518,15534,15541,15550,15564,15573,15578,15585,15592,15596,15607,15612,15614,15617,15617,15621,15625,15627,15630,15632,15633,15634,15636,15637,15643,15644,15646,15647,15649,15650,15653,15654,15655,15655,15657,15658,15659,15659,15660,15661,15661,15661,15661,15661,15661,15661,15661,15661,15662,15662,15662,15662,15662,15662,15662,15662,15662,15662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,423,508,576,647,726,836,960,1071,1207,1365,1543,1750,1956,2211,2504,2852,3177,3489,3804,4090,4394,4709,5055,5417,5778,6151,6549,6958,7415,7812,8243,8635,9000,9358,9666,9928,10193,10408,10598,10776,10925,11061,11177,11309,11410,11504,11569,11638,11700,11753,11806,11847,11877,11907,11927,11953,11970,11989,12010,12025,12035,12045,12053,12057,12064,12069,12074,12077,12079,12080,12085,12085,12085,12087,12090,12094,12094,12094,12095,12095,12097,12097,12097,12098,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,12099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,295,344,407,476,547,633,726,844,976,1126,1295,1501,1722,1971,2248,2607,2990,3419,3857,4302,4810,5355,5964,6586,7291,7998,8778,9620,10391,11091,11708,12239,12741,13211,13660,14031,14415,14727,14997,15261,15463,15655,15836,15982,16103,16217,16322,16409,16485,16554,16614,16663,16717,16763,16809,16840,16861,16884,16905,16929,16947,16968,16976,16984,16993,17011,17015,17022,17027,17036,17039,17044,17047,17050,17053,17053,17057,17057,17059,17059,17062,17064,17064,17064,17065,17065,17065,17065,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,17066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,612,718,814,945,1095,1259,1428,1637,1874,2180,2486,2853,3286,3759,4292,4882,5561,6240,6934,7596,8256,8903,9566,10132,10712,11275,11750,12215,12573,12895,13169,13379,13570,13746,13897,14027,14167,14279,14372,14462,14533,14598,14658,14716,14760,14795,14833,14866,14899,14918,14940,14954,14970,14994,15014,15026,15040,15045,15054,15063,15074,15081,15089,15095,15099,15102,15104,15108,15111,15111,15114,15115,15117,15118,15122,15122,15122,15124,15125,15126,15127,15127,15127,15128,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,382,455,563,657,777,939,1120,1322,1575,1861,2174,2529,2949,3451,4021,4691,5421,6221,6945,7575,8058,8461,8851,9206,9584,9898,10197,10453,10733,11005,11289,11530,11790,12008,12213,12371,12509,12616,12727,12839,12937,13009,13079,13158,13212,13263,13298,13345,13377,13409,13435,13458,13473,13493,13515,13528,13551,13558,13568,13581,13592,13597,13606,13614,13620,13625,13631,13633,13638,13644,13648,13650,13650,13652,13655,13658,13659,13660,13660,13662,13663,13663,13663,13663,13665,13665,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,13666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
515,571,654,747,833,931,1063,1194,1332,1507,1730,1946,2179,2443,2762,3113,3501,3913,4304,4751,5282,5814,6379,6977,7655,8314,9078,9925,10750,11440,12105,12614,13109,13593,14019,14370,14693,14982,15220,15445,15653,15838,16018,16151,16258,16383,16471,16560,16658,16740,16791,16842,16889,16929,16978,17016,17048,17073,17093,17122,17134,17157,17173,17182,17190,17202,17205,17210,17218,17223,17224,17231,17234,17239,17241,17243,17243,17243,17245,17246,17249,17252,17253,17255,17255,17255,17256,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,17257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,681,789,914,1056,1232,1418,1601,1856,2137,2459,2854,3270,3778,4324,4959,5629,6388,7152,7898,8590,9227,9847,10425,10967,11471,11915,12299,12617,12879,13112,13278,13452,13576,13706,13821,13915,14003,14078,14148,14203,14263,14308,14347,14386,14427,14457,14479,14501,14523,14543,14555,14572,14586,14595,14607,14617,14630,14637,14641,14646,14650,14654,14657,14663,14668,14672,14675,14676,14679,14680,14683,14684,14687,14688,14692,14692,14692,14695,14696,14699,14699,14700,14701,14702,14702,14703,14706,14709,14711,14712,14712,14712,14713,14713,14713,14714,14714,14714,14714,14715,14715,14715,14715,14715,14715,14715,14716,14716,14716,14716,14716,14716,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,14717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,711,798,894,1009,1120,1260,1402,1573,1726,1943,2170,2398,2680,2978,3313,3629,3970,4325,4675,5046,5446,5887,6323,6792,7288,7748,8334,8878,9344,9743,10049,10307,10569,10775,10996,11184,11374,11521,11665,11771,11876,11963,12039,12096,12164,12218,12271,12313,12357,12383,12410,12434,12455,12483,12500,12515,12524,12536,12545,12548,12556,12563,12572,12577,12578,12578,12580,12584,12587,12592,12595,12597,12599,12601,12603,12604,12605,12606,12607,12607,12608,12608,12609,12609,12613,12614,12614,12614,12614,12615,12615,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,12616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
