0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
113,134,166,212,251,298,370,424,510,602,692,791,912,1047,1183,1331,1501,1686,1911,2173,2432,2754,3154,3619,4150,4657,5184,5700,6137,6515,6852,7121,7338,7534,7707,7865,8024,8194,8331,8489,8633,8774,8893,8999,9099,9176,9246,9313,9388,9445,9501,9538,9580,9608,9651,9681,9716,9742,9767,9802,9820,9837,9853,9866,9872,9881,9890,9892,9897,9901,9906,9907,9910,9915,9916,9919,9923,9925,9927,9928,9928,9928,9928,9928,9929,9929,9929,9931,9931,9931,9931,9933,9933,9933,9933,9933,9933,9933,9933,9933,9933,9934,9934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,90,109,116,125,144,182,220,255,296,337,383,447,534,620,707,819,961,1117,1303,1541,1839,2140,2496,2964,3443,3947,4482,5096,5717,6338,7025,7698,8333,8963,9581,10209,10806,11336,11856,12376,12780,13192,13585,13983,14358,14698,15026,15313,15574,15825,16056,16280,16482,16693,16833,16978,17089,17196,17288,17380,17467,17535,17602,17647,17700,17738,17780,17810,17843,17877,17897,17918,17940,17957,17969,17981,17989,17996,18009,18022,18027,18031,18034,18039,18043,18044,18045,18046,18048,18051,18053,18053,18053,18053,18053,18053,18054,18055,18056,18056,18056,18057,18058,18058,18058,18058,18059,18059,18060,18060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,221,238,262,295,334,374,417,466,526,587,664,769,874,989,1148,1316,1498,1702,1917,2210,2512,2904,3299,3745,4257,4788,5329,5858,6434,6960,7525,8023,8497,8922,9324,9698,10034,10342,10608,10865,11107,11314,11484,11654,11809,11981,12119,12244,12372,12468,12561,12648,12736,12808,12865,12933,12983,13014,13058,13083,13109,13137,13160,13181,13194,13210,13221,13232,13241,13251,13259,13268,13273,13279,13283,13288,13289,13292,13293,13294,13297,13297,13298,13301,13303,13305,13306,13306,13306,13307,13309,13309,13309,13309,13309,13309,13309,13309,13309,13310,13310,13311,13311,13311,13311,13311,13311,13311,13312,13313,13313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,182,199,220,244,284,319,363,428,478,560,642,746,864,990,1151,1343,1568,1825,2102,2407,2770,3180,3636,4148,4737,5370,6073,6800,7582,8336,9032,9701,10297,10855,11347,11763,12110,12410,12670,12917,13128,13325,13508,13672,13829,13968,14086,14211,14294,14394,14479,14546,14605,14643,14687,14729,14759,14789,14822,14850,14873,14886,14902,14919,14927,14939,14954,14965,14971,14981,14985,14996,15000,15004,15006,15008,15010,15014,15015,15018,15024,15027,15028,15029,15029,15030,15031,15035,15035,15036,15036,15036,15036,15037,15037,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,15038,15039,15039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,61,72,88,104,125,148,172,196,218,246,281,324,355,396,460,524,591,692,794,908,1029,1181,1348,1545,1765,1999,2295,2592,2901,3229,3537,3894,4308,4699,5120,5579,6048,6541,7069,7610,8127,8668,9189,9652,10144,10600,11018,11430,11804,12169,12485,12784,13057,13276,13487,13686,13886,14052,14203,14355,14493,14579,14671,14751,14818,14895,14957,15005,15048,15089,15126,15167,15200,15225,15251,15268,15286,15299,15313,15326,15335,15352,15362,15370,15372,15376,15379,15387,15392,15396,15400,15405,15407,15410,15411,15414,15418,15419,15420,15424,15425,15426,15428,15429,15429,15433,15434,15436,15438,15439,15439,15439,15439,15439,15439,15439,15439,15440,15440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,89,104,119,141,163,180,207,238,272,312,363,414,469,536,615,699,786,893,1020,1144,1311,1474,1665,1862,2092,2307,2540,2804,3046,3314,3560,3836,4123,4401,4704,5039,5402,5789,6136,6524,6898,7278,7657,8033,8344,8652,8945,9216,9473,9704,9919,10109,10325,10498,10650,10779,10937,11047,11147,11259,11330,11408,11473,11541,11598,11652,11687,11719,11757,11778,11804,11822,11836,11845,11857,11868,11875,11885,11891,11893,11900,11903,11908,11911,11912,11916,11922,11923,11923,11926,11926,11928,11930,11932,11934,11935,11935,11936,11937,11937,11937,11937,11938,11938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,35,43,46,55,65,83,105,131,157,192,242,282,324,381,455,518,600,710,839,974,1110,1269,1461,1699,1967,2226,2547,2868,3207,3608,4029,4507,5018,5526,6067,6690,7297,7887,8487,9101,9675,10192,10707,11204,11649,12125,12562,12965,13344,13700,14023,14343,14599,14856,15064,15234,15391,15543,15686,15818,15928,16023,16121,16207,16287,16351,16407,16451,16496,16539,16571,16595,16629,16641,16661,16680,16699,16714,16727,16740,16750,16757,16761,16766,16771,16773,16776,16778,16778,16779,16782,16784,16788,16788,16791,16792,16794,16796,16796,16799,16800,16800,16800,16801,16801,16801,16801,16801,16802,16802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,143,161,194,220,251,296,342,400,461,524,619,703,819,945,1086,1244,1450,1682,1905,2168,2512,2880,3275,3728,4270,4808,5399,5989,6545,7117,7694,8229,8799,9354,9849,10285,10696,11074,11423,11689,12006,12288,12541,12762,12970,13206,13385,13556,13694,13815,13941,14046,14138,14245,14346,14421,14487,14551,14598,14652,14698,14728,14759,14785,14825,14847,14868,14889,14911,14922,14934,14943,14951,14957,14970,14975,14979,14985,14991,14994,14999,14999,15000,15003,15005,15008,15010,15011,15012,15018,15021,15023,15024,15026,15026,15027,15027,15028,15028,15028,15028,15028,15028,15029,15029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,61,69,77,92,121,143,178,221,269,336,415,484,586,704,837,998,1183,1406,1660,1950,2265,2634,3062,3533,4009,4566,5105,5675,6178,6655,7101,7549,7946,8318,8695,9047,9393,9723,10012,10314,10620,10886,11153,11394,11608,11801,11952,12098,12237,12362,12481,12593,12694,12786,12875,12946,13010,13064,13113,13161,13206,13250,13296,13327,13356,13391,13420,13443,13459,13471,13480,13491,13509,13524,13531,13536,13546,13554,13561,13565,13568,13574,13580,13581,13582,13582,13584,13584,13586,13589,13591,13595,13598,13598,13599,13599,13601,13603,13604,13604,13606,13606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,149,161,187,220,257,287,329,369,417,469,516,582,659,738,841,957,1091,1237,1396,1567,1765,1985,2234,2492,2784,3118,3455,3826,4216,4603,5084,5572,6075,6632,7212,7797,8420,9030,9618,10173,10686,11160,11627,12053,12492,12932,13307,13653,13951,14258,14569,14829,15056,15281,15471,15660,15822,15955,16072,16186,16294,16377,16452,16517,16573,16625,16670,16721,16759,16790,16816,16840,16862,16874,16901,16911,16922,16934,16940,16945,16951,16957,16963,16967,16970,16972,16979,16985,16986,16989,16990,16993,16995,16996,16996,16997,16998,16999,17000,17001,17003,17006,17006,17007,17008,17008,17008,17008,17009,17009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,170,205,238,273,317,354,409,480,542,635,726,832,955,1097,1271,1471,1676,1916,2183,2479,2845,3293,3783,4349,4933,5553,6153,6769,7394,7971,8535,9093,9645,10157,10577,10969,11367,11678,11977,12219,12449,12698,12886,13070,13220,13359,13475,13596,13698,13794,13883,13949,14025,14086,14161,14220,14259,14292,14328,14358,14380,14411,14438,14459,14486,14508,14520,14541,14549,14557,14566,14573,14580,14591,14592,14594,14597,14602,14606,14611,14614,14617,14621,14621,14623,14623,14623,14627,14628,14630,14631,14632,14634,14635,14635,14636,14636,14640,14640,14640,14641,14641,14644,14644,14645,14647,14648,14649,14649,14650,14651,14652,14653,14653,14653,14653,14654,14654,14654,14654,14654,14654,14654,14655,14655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,209,231,265,302,341,385,435,479,545,615,679,746,825,904,996,1113,1255,1405,1562,1729,1917,2111,2332,2578,2839,3079,3376,3703,4010,4346,4699,5079,5468,5890,6287,6765,7193,7573,7979,8337,8665,8983,9289,9559,9833,10057,10289,10517,10725,10933,11110,11255,11387,11514,11630,11733,11815,11899,11962,12021,12077,12109,12141,12175,12202,12226,12256,12281,12298,12315,12333,12341,12355,12364,12372,12386,12392,12395,12404,12409,12414,12416,12421,12423,12427,12427,12427,12428,12429,12431,12431,12432,12432,12433,12434,12435,12435,12435,12435,12435,12436,12437,12438,12439,12440,12440,12440,12440,12440,12441,12441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,124,139,168,197,226,266,313,371,432,516,593,676,783,915,1063,1213,1369,1568,1790,2047,2380,2742,3143,3606,4079,4530,4971,5428,5875,6260,6629,6992,7297,7604,7866,8162,8455,8699,8937,9175,9395,9598,9806,9994,10162,10306,10458,10598,10713,10804,10894,10977,11064,11145,11207,11262,11317,11361,11409,11446,11476,11510,11538,11567,11584,11615,11631,11647,11659,11674,11684,11694,11699,11706,11712,11717,11721,11725,11731,11734,11734,11739,11745,11747,11747,11748,11748,11749,11750,11750,11750,11750,11751,11752,11752,11753,11754,11754,11754,11754,11754,11755,11756,11756,11756,11756,11756,11757,11757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,123,130,150,175,201,230,263,292,330,367,417,475,548,618,716,819,937,1041,1163,1309,1477,1655,1859,2076,2345,2610,2907,3238,3631,4037,4454,4901,5410,5962,6513,7101,7660,8222,8801,9333,9796,10208,10622,11032,11432,11818,12192,12530,12824,13103,13359,13631,13864,14079,14268,14441,14577,14718,14835,14949,15028,15114,15180,15237,15299,15347,15406,15438,15471,15515,15545,15568,15584,15597,15614,15625,15633,15644,15653,15664,15671,15677,15680,15688,15697,15701,15706,15709,15712,15714,15716,15717,15718,15718,15718,15718,15718,15718,15718,15718,15719,15720,15721,15721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,48,56,71,85,104,126,152,193,242,288,356,436,537,670,795,953,1130,1333,1555,1832,2138,2428,2770,3179,3535,3910,4256,4566,4889,5205,5484,5788,6045,6321,6596,6900,7185,7489,7814,8121,8443,8758,9046,9310,9589,9806,10006,10205,10412,10591,10768,10929,11062,11201,11294,11409,11493,11586,11669,11730,11797,11854,11892,11936,11962,11987,12015,12038,12052,12073,12084,12095,12108,12120,12130,12133,12142,12149,12154,12161,12167,12173,12175,12179,12186,12190,12193,12195,12197,12200,12200,12203,12203,12203,12206,12207,12207,12207,12208,12208,12208,12208,12208,12208,12209,12210,12211,12211,12211,12212,12212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,149,172,186,206,229,256,298,342,378,431,477,534,596,667,745,857,972,1080,1193,1316,1474,1660,1848,2052,2237,2454,2681,2936,3178,3426,3709,3999,4305,4668,5002,5377,5745,6132,6515,6937,7326,7691,8070,8417,8760,9089,9375,9671,9936,10164,10389,10613,10794,10968,11130,11284,11397,11503,11591,11676,11757,11821,11905,11965,12004,12051,12085,12117,12158,12195,12217,12245,12261,12274,12288,12301,12321,12333,12349,12356,12363,12371,12377,12382,12386,12392,12393,12397,12399,12401,12406,12407,12409,12410,12410,12411,12412,12413,12413,12414,12414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,45,51,63,71,84,106,125,154,174,203,224,272,316,358,418,482,572,656,744,872,1014,1204,1398,1639,1906,2213,2522,2909,3293,3718,4206,4723,5299,5925,6575,7257,8024,8841,9592,10334,11104,11902,12662,13338,14036,14688,15321,15914,16470,16958,17396,17825,18233,18593,18900,19203,19464,19685,19893,20066,20248,20405,20557,20667,20755,20836,20908,20972,21028,21074,21130,21168,21200,21238,21270,21286,21314,21325,21338,21352,21366,21379,21390,21394,21404,21408,21413,21417,21421,21424,21426,21429,21429,21432,21435,21436,21440,21441,21442,21443,21443,21444,21445,21447,21449,21449,21449,21449,21451,21451,21453,21453,21453,21453,21454,21454,21454,21454,21455,21455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,132,155,178,208,235,263,313,363,409,487,557,639,735,846,984,1123,1324,1562,1814,2116,2473,2853,3325,3830,4383,5004,5594,6195,6814,7461,8109,8723,9277,9825,10344,10813,11242,11658,12017,12369,12706,12994,13242,13534,13806,14048,14250,14463,14632,14780,14918,15071,15195,15301,15407,15512,15592,15672,15724,15788,15833,15868,15906,15939,15967,15998,16014,16038,16058,16079,16098,16106,16116,16131,16139,16150,16158,16168,16174,16180,16188,16190,16197,16200,16204,16207,16207,16212,16212,16215,16217,16218,16219,16222,16223,16223,16223,16224,16225,16226,16227,16229,16231,16231,16232,16232,16232,16232,16233,16233,16233,16234,16235,16235,16236,16236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,101,117,135,156,178,207,255,295,331,377,432,508,578,665,751,853,984,1166,1347,1583,1820,2088,2397,2758,3163,3586,3984,4458,4923,5389,5818,6297,6777,7241,7717,8183,8628,9066,9469,9909,10270,10592,10990,11336,11649,11936,12240,12493,12728,12952,13152,13344,13497,13653,13801,13925,14032,14122,14211,14285,14348,14412,14472,14523,14568,14608,14645,14674,14696,14719,14737,14754,14771,14788,14802,14812,14824,14835,14843,14847,14853,14855,14861,14865,14867,14873,14876,14876,14876,14879,14881,14881,14882,14882,14884,14884,14884,14884,14884,14884,14884,14884,14885,14885,14885,14885,14886,14886,14886,14886,14886,14887,14888,14888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,146,170,194,246,281,316,371,414,505,597,678,763,864,977,1131,1299,1499,1714,1965,2240,2577,2974,3385,3873,4397,4921,5527,6127,6717,7288,7838,8346,8870,9390,9880,10334,10790,11234,11580,11879,12193,12491,12721,12972,13226,13456,13665,13848,14036,14202,14364,14504,14626,14735,14838,14928,15011,15083,15141,15217,15286,15338,15367,15394,15424,15461,15492,15502,15516,15536,15545,15557,15567,15579,15584,15590,15599,15608,15614,15621,15626,15626,15628,15631,15634,15635,15638,15638,15640,15641,15642,15642,15644,15645,15645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,159,173,188,206,229,251,294,328,375,414,473,527,596,671,764,872,979,1123,1252,1410,1575,1761,1969,2175,2403,2614,2840,3098,3347,3641,3950,4284,4602,4926,5287,5647,6008,6435,6798,7197,7607,7950,8337,8708,9049,9383,9686,9972,10232,10473,10681,10866,11055,11191,11346,11474,11604,11702,11794,11881,11980,12062,12117,12166,12209,12264,12298,12332,12370,12404,12432,12455,12475,12488,12497,12507,12517,12525,12532,12536,12542,12550,12554,12559,12563,12570,12574,12576,12578,12578,12579,12584,12587,12587,12587,12588,12588,12589,12589,12589,12590,12590,12591,12592,12592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,56,73,96,119,140,162,197,246,287,345,398,453,521,601,680,776,892,1024,1154,1292,1460,1652,1859,2129,2414,2718,3082,3435,3848,4297,4809,5345,5920,6580,7250,7964,8642,9349,10004,10593,11136,11700,12191,12723,13176,13660,14112,14485,14869,15225,15585,15873,16148,16383,16600,16834,17025,17180,17330,17483,17596,17709,17793,17868,17954,18021,18067,18127,18172,18220,18257,18290,18318,18351,18369,18394,18416,18429,18441,18457,18467,18480,18492,18500,18507,18512,18517,18519,18525,18529,18532,18535,18537,18537,18537,18537,18537,18539,18539,18540,18540,18543,18543,18543,18544,18544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,49,69,81,104,129,160,205,265,337,386,466,544,636,737,850,990,1148,1344,1518,1778,2075,2451,2871,3406,3965,4530,5139,5726,6251,6730,7174,7584,7967,8334,8708,9080,9498,9879,10302,10696,11116,11528,11881,12209,12554,12853,13149,13426,13703,13950,14188,14391,14613,14827,14967,15118,15249,15355,15484,15596,15686,15758,15842,15904,15948,15998,16047,16088,16123,16158,16185,16213,16231,16253,16268,16284,16296,16308,16314,16322,16329,16337,16346,16354,16358,16363,16370,16371,16373,16377,16381,16382,16384,16388,16390,16393,16393,16395,16397,16399,16399,16399,16400,16400,16400,16402,16403,16404,16405,16405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
